energy[eV]  elec[eV/m]    nuclear[eV/m]  range[A]   longitudinal[A]    lateral[A]
7000.0  400200000.0  8902000.0  1772300.0  613500.0  594200.0
8000.0  426700000.0  8184000.000000001  1974600.0  642099.9999999999  632700.0
9000.0  451400000.0  7586000.0  2168900.0  666900.0  667300.0
10000.0  474600000.0  7080000.0  2356000.0  688900.0  698800.0
11000.0  496600000.0  6645000.000000001  2536800.0  708400.0  727600.0
12000.0  517400000.0  6267000.0  2711800.0  726000.0  754200.0
13000.0  537200000.0  5934999.999999999  2881600.0000000005  741800.0000000001  778800.0
14000.0  556100000.0  5640000.000000001  3046800.0  756300.0  801800.0000000001
15000.0  574200000.0  5377000.0  3207700.0  769599.9999999999  823199.9999999999
16000.0  591400000.0  5140000.0  3364600.0  781800.0000000001  843400.0
17000.0  608000000.0  4925000.0  3518000.0  793199.9999999999  862400.0
18000.0  623900000.0  4730000.0  3668100.0  803700.0  880400.0000000001
20000.0  653799999.9999999  4387000.0  3959300.0  823199.9999999999  913600.0
22500.0  688000000.0  4029000.0  4308700.0  844599.9999999999  950900.0
25000.0  719100000.0  3731000.0  4644200.0  863300.0  984300.0000000001
27500.0  747500000.0  3478000.0  4967900.0  879800.0  1014700.0
30000.0  773400000.0000001  3261000.0  5281600.0  894599.9999999999  1042500.0
32500.0  796900000.0  3072000.0  5586600.0  908000.0  1068200.0
35000.0  818300000.0  2905000.0  5884100.0  920200.0  1092100.0
37500.0  837799999.9999999  2757000.0  6175200.0  931500.0  1114500.0
40000.0  855400000.0  2626000.0  6460599.999999999  941900.0  1135500.0
45000.0  885600000.0  2399000.0  7017500.0  962200.0  1174300.0
50000.0  909800000.0  2212000.0  7559400.000000001  980300.0  1209600.0
55000.0  928700000.0  2055000.0  8090000.0  996700.0  1242000.0
60000.0  943100000.0  1920000.0  8612400.0  1011800.0000000001  1272300.0
65000.0  953400000.0  1803000.0  9129000.0  1025800.0  1300800.0000000002
70000.0  960200000.0  1700999.9999999998  9641800.0  1039000.0  1327900.0
80000.0  965100000.0  1530000.0  10700000.0  1068300.0  1378800.0
90000.0  961000000.0  1393000.0  11700000.0  1095600.0  1426500.0
100000.0  950199999.9999999  1280000.0  12700000.0  1121700.0  1472100.0
110000.0  934900000.0  1186000.0  13799999.999999998  1147100.0  1516399.9999999998
120000.0  916500000.0  1105000.0  14800000.0  1172100.0  1559800.0
130000.0  896200000.0  1036000.0  15900000.0  1196900.0  1602700.0
140000.0  874900000.0  975100.0000000001  17000000.0  1221900.0  1645600.0
150000.0  853100000.0  921699.9999999999  18200000.0  1247100.0  1688500.0
160000.0  831400000.0  874200.0  19400000.0  1272600.0  1731800.0
170000.0  810000000.0  831800.0  20600000.0  1298500.0  1775600.0
180000.0  789200000.0  793600.0  21800000.0  1324900.0  1820000.0
200000.0  749600000.0  727500.0000000001  24400000.0  1403100.0  1911000.0
225000.0  704700000.0  659800.0  27799999.999999996  1519800.0  2029700.0
250000.0  664700000.0  604400.0  31500000.0  1640600.0  2154700.0
275000.0  629400000.0  558200.0  35300000.0  1765600.0  2286300.0
300000.0  597900000.0  518900.0  39400000.0  1894600.0  2424900.0
325000.0  570000000.0  485200.00000000006  43600000.0  2027600.0  2570500.0
350000.0  544900000.0  455900.0  48099999.99999999  2164300.0  2723200.0
375000.0  522300000.0  430100.00000000006  52699999.99999999  2304500.0  2882900.0
400000.0  501900000.0  407300.0  57600000.0  2448100.0  3049600.0
450000.0  466200000.0  368600.0  67900000.0  2929800.0  3403500.0
500000.0  436200000.0  337000.0  78900000.0  3402799.9999999995  3783900.0
550000.0  410400000.0  310700.0  90700000.0  3873300.0  4189800.0
600000.0  387900000.0  288500.0  103200000.0  4344600.0  4620200.0
650000.0  368200000.0  269300.0  116400000.0  4818700.0  5074200.0
700000.0  350699999.99999994  252799.99999999997  130200000.0  5296799.999999999  5550900.0
800000.0  320900000.0  225300.0  159900000.0  6932100.0  6570500.0
900000.0  296300000.0  203600.00000000003  192300000.0  8478700.0  7674100.0
1000000.0  275700000.0  185900.0  227100000.0  9991400.0  8858200.0
1100000.0  260099999.99999997  171100.0  264400000.0  11500000.0  10100000.0
1200000.0  244700000.0  158700.0  303900000.0  13000000.0  11399999.999999998
1300000.0  231500000.0  148000.0  345800000.0  14500000.0  12800000.0
1400000.0  220000000.0  138800.0  390000000.0  16000000.0  14300000.0
1500000.0  209800000.0  130700.0  436400000.0  17500000.0  15800000.0
1600000.0  200600000.0  123500.0  485000000.0  19100000.0  17400000.0
1700000.0  192200000.0  117100.0  535800000.0  20600000.0  19100000.0
1800000.0  184600000.0  111400.0  588700000.0  22200000.000000004  20800000.0
2000000.0  171300000.0  101600.0  700900000.0  27799999.999999996  24400000.0
2250000.0  157400000.0  91600.0  852800000.0  35700000.0  29300000.0
2500000.0  145800000.0  83489.99999999999  1017400000.0  43300000.0  34500000.0
2750000.0  135900000.0  76770.0  1194600000.0  50700000.0  40100000.0
3000000.0  127499999.99999999  71090.0  1384100000.0  58099999.99999999  46000000.0
3250000.0  120100000.0  66240.0  1585700000.0  65400000.0  52300000.00000001
3500000.0  113600000.0  62030.0  1799199999.9999998  72900000.0  58900000.0
3750000.0  107800000.0  58360.0  2024600000.0  80399999.99999999  65800000.0
4000000.0  102700000.0  55110.0  2261700000.0  88000000.0  73100000.0
4500000.0  93840000.0  49640.0  2770000000.0  115300000.0  88600000.0
5000000.0  86529999.99999999  45200.0  3323700000.0  141100000.0  105300000.0
5500000.0  80380000.0  41520.0  3922000000.0  166400000.0  123300000.0
6000000.0  75110000.0  38420.0  4564100000.0  191600000.0  142500000.0
6500000.0  70550000.0  35770.0  5249500000.0  216800000.0  162900000.0
7000000.0  66559999.99999999  33480.0  5977600000.0  242300000.0  184400000.0
8000000.0  59900000.0  29710.0  7558300000.0  333800000.0  230900000.0
9000000.0  54560000.0  26730.0  9304200000.0  419600000.0  282000000.0
10000000.0  50159999.99999999  24320.0  11200000000.000002  503600000.0  337400000.0
11000000.0  46480000.0  22330.0  13300000000.0  587500000.0  397200000.0
12000000.0  43340000.0  20650.0  15500000000.0  672000000.0  461100000.0
13000000.0  40640000.0  19210.0  17900000000.0  757600000.0  529300000.0
14000000.0  38290000.0  17970.0  20400000000.0  844500000.0  601500000.0
15000000.0  36210000.0  16890.0  23100000000.0  932800000.0  677700000.0
16000000.0  34380000.0  15930.0  25900000000.0  1022600000.0  757900000.0000001
17000000.0  32730000.0  15080.0  28900000000.0  1113900000.0  842000000.0
18000000.0  31250000.0  14320.0  32000000000.0  1206900000.0  929900000.0
20000000.0  28700000.0  13020.0  38700000000.0  1547700000.0  1117200000.0
22500000.0  26090000.000000004  11700.0  47800000000.0  2034800000.0  1372200000.0
25000000.0  23960000.0  10640.000000000002  57800000000.0  2498000000.0  1649800000.0
27500000.0  22180000.0  9758.0  68600000000.0  2953000000.0  1949400000.0
30000000.0  20670000.0  9016.0  80300000000.0  3406800000.0  2270500000.0
32500000.0  19380000.0  8384.0  92700000000.0  3863100000.0  2612600000.0
35000000.0  18260000.0  7837.0  106000000000.0  4323700000.0  2975100000.0
37500000.0  17280000.0  7361.0  120100000000.0  4789800000.0  3357799999.9999995
40000000.0  16400000.0  6940.000000000001  134900000000.0  5262200000.0  3760200000.0
45000000.0  14930000.0  6234.0  166800000000.0  6993000000.0  4622800000.0
50000000.0  13730000.0  5663.0  201700000000.00003  8621800000.0  5559900000.0
55000000.0  12740000.0  5191.0  239400000000.0  10200000000.0  6568900000.0
60000000.0  11900000.0  4794.0  280000000000.0  11800000000.0  7647300000.0
65000000.0  11180000.0  4456.0  323300000000.0  13400000000.0  8792900000.0
70000000.0  10550000.0  4164.0  369200000000.0  15000000000.0  10000000000.0
80000000.0  9523000.0  3685.0  468800000000.0  20700000000.0  12600000000.0
90000000.0  8710000.0  3308.0000000000005  578500000000.0  26000000000.0  15500000000.0
100000000.0  8051000.0  3003.0  697800000000.0  31200000000.0  18500000000.0
110000000.0  7505000.0  2751.9999999999995  826200000000.0  36300000000.0  21800000000.0
120000000.0  7045000.000000001  2540.0000000000005  963600000000.0  41400000000.0  25299999999.999996
130000000.0  6653000.0  2360.0  1109400000000.0  46500000000.0  29000000000.0
140000000.0  6313000.0  2205.0  1263500000000.0  51600000000.0  32799999999.999996
150000000.0  6018000.0  2069.0  1425600000000.0  56700000000.0  36900000000.0
160000000.0  5756999.999999999  1950.0000000000002  1595200000000.0  61900000000.00001  41100000000.0
170000000.0  5526000.0  1844.0  1772300000000.0  67000000000.0  45400000000.0
180000000.0  5320000.0  1749.0  1956500000000.0  72200000000.0  49900000000.0
200000000.0  4967000.0  1587.0000000000002  2345100000000.0  91300000000.00002  59300000000.0
225000000.0  4611000.0  1424.0  2866900000000.0  118100000000.0  71800000000.0
250000000.0  4325000.0  1292.0  3426100000000.0  142900000000.0  84900000000.0
275000000.0  4090000.0  1183.0  4019800000000.0  166400000000.0  98699999999.99998
300000000.0  3894000.0  1092.0  4645500000000.0  189300000000.0  113000000000.0
325000000.0  3728000.0  1014.0  5300900000000.0  211600000000.0  127899999999.99998
350000000.0  3586000.0  946.6  5983900000000.0  233400000000.0  143100000000.0
375000000.0  3463000.0  888.0  6692600000000.0  254899999999.99997  158700000000.0
400000000.0  3356000.0000000005  836.5  7425200000000.0  276100000000.0  174700000000.0
450000000.0  3178000.0000000005  750.0  8955000000000.0  352400000000.0  207500000000.0
500000000.0  3037000.0  680.1999999999999  10600000000000.0  421000000000.0  241200000000.0
550000000.0  2923000.0  622.7  12200000000000.0  484799999999.99994  275500000000.0
600000000.0  2830000.0  574.4  14000000000000.0  545200000000.00006  310400000000.0
650000000.0  2752000.0  533.1999999999999  15800000000000.0  602800000000.0  345500000000.0
700000000.0  2687000.0000000005  497.8  17600000000000.0  658100000000.0  380900000000.00006
800000000.0  2584000.0  439.70000000000005  21400000000000.0  851900000000.0  452000000000.0
900000000.0  2508000.0000000005  394.1  25299999999999.996  1019599999999.9999  522900000000.0
1000000000.0  2451000.0  357.3  29400000000000.0  1170800000000.0  593200000000.0
1100000000.0  2407000.0  326.9  33500000000000.0  1310100000000.0  662700000000.0
1200000000.0  2373000.0  301.5  37600000000000.0  1440000000000.0  731200000000.0
1300000000.0  2347000.0  279.8  41900000000000.01  1562200000000.0  798500000000.0
1400000000.0  2327000.0  261.1  46200000000000.0  1677800000000.0  864500000000.0
1500000000.0  2311000.0  244.9  50500000000000.0  1787700000000.0  929300000000.0001
1600000000.0  2298000.0  230.5  54800000000000.01  1892500000000.0  992900000000.0001
1700000000.0  2289000.0  217.89999999999998  59200000000000.0  1992800000000.0  1055100000000.0
1800000000.0  2282000.0  206.5  63500000000000.0  2089100000000.0  1116100000000.0
2000000000.0  2273000.0  187.20000000000002  72300000000000.0  2434400000000.0  1234300000000.0
2250000000.0  2269000.0  167.70000000000002  83300000000000.0  2893800000000.0  1375600000000.0
2500000000.0  2271000.0  152.0  94300000000000.0  3290200000000.0  1510000000000.0
2750000000.0  2276000.0  139.0  105300000000000.0  3642900000000.0  1638100000000.0
3000000000.0  2284000.0  128.1  116300000000000.02  3962799999999.9995  1760400000000.0
3250000000.0  2293000.0  118.89999999999999  127200000000000.0  4256700000000.0  1877400000000.0
3500000000.0  2303000.0  110.9  138100000000000.0  4529400000000.0  1989500000000.0
3750000000.0  2314000.0  104.0  148900000000000.0  4784500000000.0  2097200000000.0
4000000000.0  2325000.0  97.88  159700000000000.0  5024500000000.0  2200800000000.0
4500000000.0  2348000.0  87.64999999999999  181100000000000.0  5870200000000.0  2397000000000.0
5000000000.0  2371000.0  79.41  202200000000000.0  6595200000000.0  2580100000000.0
5500000000.0  2393000.0  72.61  223200000000000.0  7236200000000.0  2752100000000.0
6000000000.0  2415000.0  66.92  244000000000000.0  7814600000000.0  2914200000000.0
6500000000.0  2437000.0  62.08  264600000000000.0  8343700000000.0  3067700000000.0
7000000000.0  2457000.0  57.910000000000004  285000000000000.0  8833100000000.0  3213600000000.0
8000000000.0  2496000.0  51.08  325400000000000.0  10500000000000.0  3485500000000.0
9000000000.0  2531999.9999999995  45.73  365200000000000.06  11900000000000.0  3735200000000.0
10000000000.0  2565000.0  41.41  404400000000000.0  13200000000000.0  3966400000000.0
