energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
449.999  13490000000.0  170100000000.00003  3.63e-07  1.5000000000000002e-07  1.0900000000000001e-07
499.999  14220000000.0  177399999999.99997  3.8300000000000003e-07  1.5700000000000002e-07  1.1500000000000001e-07
549.999  14910000000.000002  184100000000.0  4.0300000000000005e-07  1.64e-07  1.2000000000000002e-07
599.999  15580000000.0  190400000000.0  4.2200000000000005e-07  1.71e-07  1.2500000000000002e-07
649.999  16210000000.0  196200000000.0  4.4e-07  1.77e-07  1.3e-07
699.999  16820000000.0  201600000000.0  4.5800000000000005e-07  1.83e-07  1.35e-07
799.999  17980000000.0  211600000000.0  4.93e-07  1.95e-07  1.4400000000000002e-07
899.999  19080000000.0  220600000000.0  5.26e-07  2.0600000000000002e-07  1.53e-07
999.999  20110000000.0  228700000000.0  5.58e-07  2.1700000000000002e-07  1.61e-07
1100.0  21090000000.0  236000000000.0  5.89e-07  2.27e-07  1.6900000000000002e-07
1200.0  22030000000.0  242800000000.0  6.19e-07  2.3700000000000002e-07  1.77e-07
1300.0  22930000000.0  249000000000.0  6.480000000000001e-07  2.4700000000000003e-07  1.85e-07
1400.0  23790000000.0  254800000000.0  6.77e-07  2.56e-07  1.9200000000000003e-07
1500.0  24630000000.0  260200000000.0  7.05e-07  2.65e-07  1.9900000000000002e-07
1600.0  25430000000.0  265200000000.0  7.32e-07  2.74e-07  2.0600000000000002e-07
1700.0  26220000000.0  269899999999.99997  7.590000000000001e-07  2.82e-07  2.1300000000000001e-07
1800.0  26980000000.0  274400000000.0  7.860000000000001e-07  2.9000000000000003e-07  2.2e-07
2000.0  28440000000.0  282500000000.0  8.380000000000001e-07  3.0700000000000004e-07  2.32e-07
2250.0  30160000000.0  291500000000.0  9.02e-07  3.2600000000000003e-07  2.48e-07
2500.0  31790000000.0  299400000000.0  9.630000000000001e-07  3.4500000000000003e-07  2.63e-07
2750.0  33340000000.0  306500000000.0  1.023e-06  3.63e-07  2.7800000000000003e-07
3000.0  34830000000.0  312800000000.0  1.082e-06  3.8100000000000004e-07  2.92e-07
3250.0  36250000000.0  318500000000.0  1.14e-06  3.9800000000000004e-07  3.06e-07
3500.0  37620000000.0  323700000000.0  1.1970000000000001e-06  4.1500000000000005e-07  3.1900000000000004e-07
3750.0  38940000000.0  328400000000.00006  1.2530000000000001e-06  4.3100000000000003e-07  3.32e-07
4000.0  40220000000.0  332800000000.0  1.308e-06  4.47e-07  3.4500000000000003e-07
4500.0  42650000000.0  340400000000.0  1.416e-06  4.78e-07  3.7e-07
5000.0  44960000000.00001  346900000000.0  1.523e-06  5.09e-07  3.9500000000000003e-07
5500.0  47160000000.0  352500000000.0  1.627e-06  5.380000000000001e-07  4.18e-07
6000.0  49250000000.0  357299999999.99994  1.7300000000000002e-06  5.67e-07  4.42e-07
6500.0  51260000000.0  361500000000.0  1.8310000000000001e-06  5.95e-07  4.64e-07
7000.0  53200000000.0  365200000000.00006  1.9310000000000002e-06  6.23e-07  4.86e-07
8000.0  56870000000.0  371200000000.0  2.1290000000000003e-06  6.77e-07  5.29e-07
9000.0  60320000000.0  375900000000.00006  2.323e-06  7.29e-07  5.71e-07
10000.0  63590000000.0  379500000000.0  2.515e-06  7.81e-07  6.12e-07
11000.0  66689999999.99999  382200000000.0  2.7040000000000003e-06  8.310000000000001e-07  6.520000000000001e-07
12000.0  69650000000.0  384300000000.0  2.892e-06  8.8e-07  6.91e-07
13000.0  72500000000.0  385900000000.00006  3.078e-06  9.28e-07  7.29e-07
14000.0  75240000000.0  387000000000.0  3.264e-06  9.76e-07  7.67e-07
15000.0  77880000000.0  387700000000.00006  3.4480000000000003e-06  1.023e-06  8.04e-07
16000.0  80430000000.0  388100000000.0  3.631e-06  1.0700000000000001e-06  8.410000000000001e-07
17000.0  82910000000.0  388300000000.0  3.8140000000000002e-06  1.116e-06  8.77e-07
18000.0  85310000000.0  388200000000.0  3.996e-06  1.161e-06  9.130000000000001e-07
20000.0  89920000000.00002  387500000000.0  4.359e-06  1.252e-06  9.830000000000002e-07
22500.0  95380000000.0  385800000000.0  4.8100000000000005e-06  1.362e-06  1.0700000000000001e-06
25000.0  100500000000.0  383500000000.0  5.261e-06  1.4710000000000002e-06  1.1550000000000002e-06
27500.0  105399999999.99998  380800000000.0  5.71e-06  1.5780000000000002e-06  1.238e-06
30000.0  110100000000.0  377800000000.0  6.159000000000001e-06  1.683e-06  1.3210000000000001e-06
32500.0  114600000000.00002  374500000000.0  6.608e-06  1.7870000000000002e-06  1.402e-06
35000.0  119000000000.0  371200000000.0  7.057e-06  1.8900000000000001e-06  1.483e-06
37500.0  123100000000.0  367700000000.00006  7.507e-06  1.991e-06  1.562e-06
40000.0  127200000000.0  364200000000.0  7.957e-06  2.091e-06  1.641e-06
45000.0  134900000000.0  357000000000.0  8.859000000000001e-06  2.29e-06  1.7980000000000002e-06
50000.0  142200000000.0  350000000000.0  9.764e-06  2.4850000000000003e-06  1.953e-06
55000.0  149100000000.0  343000000000.0  1.0700000000000001e-05  2.6760000000000003e-06  2.1060000000000002e-06
60000.0  155800000000.0  336300000000.0  1.16e-05  2.864e-06  2.257e-06
65000.0  162100000000.0  329700000000.0  1.25e-05  3.0480000000000003e-06  2.407e-06
70000.0  168200000000.0  323400000000.00006  1.3400000000000002e-05  3.23e-06  2.556e-06
80000.0  179899999999.99997  311400000000.0  1.5300000000000003e-05  3.588e-06  2.852e-06
90000.0  191900000000.0  300300000000.0  1.7100000000000002e-05  3.934e-06  3.1440000000000003e-06
100000.0  201900000000.0  290100000000.0  1.9e-05  4.269e-06  3.4320000000000003e-06
110000.0  210600000000.0  280600000000.0  2.08e-05  4.595e-06  3.717e-06
120000.0  218400000000.0  271800000000.0  2.2700000000000003e-05  4.9120000000000006e-06  3.999e-06
130000.0  225600000000.0  263600000000.0  2.46e-05  5.223000000000001e-06  4.279e-06
140000.0  232300000000.0  255900000000.0  2.65e-05  5.527000000000001e-06  4.556e-06
150000.0  238700000000.0  248800000000.0  2.8300000000000003e-05  5.8240000000000005e-06  4.831e-06
160000.0  244800000000.0  242100000000.0  3.0200000000000002e-05  6.116e-06  5.104000000000001e-06
170000.0  250700000000.0  235799999999.99997  3.2200000000000003e-05  6.401e-06  5.375e-06
180000.0  256300000000.0  229899999999.99997  3.41e-05  6.681e-06  5.6440000000000005e-06
200000.0  267300000000.0  219100000000.0  3.7900000000000006e-05  7.232e-06  6.176000000000001e-06
225000.0  280200000000.0  207200000000.0  4.27e-05  7.895e-06  6.830000000000001e-06
250000.0  292600000000.0  196700000000.00003  4.75e-05  8.526000000000001e-06  7.471e-06
275000.0  304400000000.0  187300000000.0  5.230000000000001e-05  9.127000000000001e-06  8.099e-06
300000.0  315900000000.0  179000000000.0  5.7100000000000006e-05  9.7e-06  8.713000000000001e-06
325000.0  326900000000.0  171500000000.0  6.190000000000001e-05  1.02e-05  9.314000000000001e-06
350000.0  337600000000.0  164600000000.0  6.66e-05  1.0800000000000002e-05  9.901e-06
375000.0  347900000000.0  158400000000.0  7.13e-05  1.13e-05  1.0500000000000001e-05
400000.0  357900000000.0  152800000000.0  7.6e-05  1.18e-05  1.1000000000000001e-05
450000.0  376800000000.0  142700000000.0  8.53e-05  1.27e-05  1.2100000000000001e-05
500000.0  394500000000.0  134100000000.0  9.44e-05  1.3500000000000001e-05  1.3200000000000002e-05
550000.0  411100000000.0  126600000000.0  0.0001034  1.43e-05  1.41e-05
600000.0  426500000000.0  120000000000.0  0.00011230000000000002  1.5100000000000001e-05  1.5100000000000001e-05
650000.0  441000000000.0  114100000000.0  0.000121  1.58e-05  1.6000000000000003e-05
700000.0  454600000000.0  108900000000.0  0.0001297  1.64e-05  1.69e-05
800000.0  479300000000.0  99940000000.0  0.0001466  1.77e-05  1.8500000000000002e-05
900000.0  501300000000.0  92510000000.0  0.0001632  1.88e-05  2e-05
1000000.0  521300000000.0  86230000000.0  0.00017940000000000002  1.9900000000000003e-05  2.1400000000000002e-05
1100000.0  539700000000.0  80850000000.00002  0.0001952  2.08e-05  2.28e-05
1200000.0  557000000000.0  76180000000.0  0.0002108  2.1700000000000002e-05  2.4e-05
1300000.0  573400000000.0  72080000000.0  0.00022610000000000002  2.25e-05  2.5200000000000003e-05
1400000.0  589200000000.0  68450000000.0  0.00024120000000000004  2.3300000000000004e-05  2.6400000000000005e-05
1500000.0  604700000000.0  65210000000.0  0.00025590000000000004  2.4e-05  2.7400000000000005e-05
1600000.0  620000000000.0  62300000000.00001  0.0002704  2.46e-05  2.8400000000000003e-05
1700000.0  635200000000.0  59670000000.0  0.00028470000000000004  2.5200000000000003e-05  2.9400000000000003e-05
1800000.0  650400000000.0001  57270000000.0  0.00029870000000000005  2.5800000000000004e-05  3.03e-05
2000000.0  681300000000.0  53070000000.00001  0.00032600000000000006  2.7000000000000002e-05  3.21e-05
2250000.0  721200000000.0  48690000000.0  0.00035880000000000005  2.8400000000000003e-05  3.41e-05
2500000.0  762800000000.0  45050000000.0  0.0003901  2.96e-05  3.58e-05
2750000.0  806400000000.0  41970000000.0  0.00041990000000000007  3.0600000000000005e-05  3.740000000000001e-05
3000000.0  851900000000.0  39320000000.0  0.00044840000000000006  3.15e-05  3.8900000000000004e-05
3250000.0  899200000000.0  37020000000.0  0.0004755  3.24e-05  4.02e-05
3500000.0  948199999999.9999  34990000000.0  0.0005013000000000001  3.3100000000000005e-05  4.1400000000000003e-05
3750000.0  998700000000.0  33200000000.0  0.0005259  3.3700000000000006e-05  4.25e-05
4000000.0  1050000000000.0  31600000000.0  0.0005493000000000001  3.430000000000001e-05  4.35e-05
4500000.0  1156000000000.0  28849999999.999996  0.0005931  3.55e-05  4.52e-05
5000000.0  1265000000000.0  26589999999.999996  0.0006332000000000001  3.65e-05  4.660000000000001e-05
5500000.0  1373000000000.0  24680000000.0  0.0006702  3.7300000000000005e-05  4.7900000000000006e-05
6000000.0  1480000000000.0  23050000000.0  0.0007045  3.7900000000000006e-05  4.9000000000000005e-05
6500000.0  1585000000000.0  21640000000.0  0.0007365000000000001  3.85e-05  4.990000000000001e-05
7000000.0  1686000000000.0  20400000000.0  0.0007665000000000001  3.9e-05  5.0700000000000006e-05
8000000.0  1875000000000.0  18340000000.0  0.0008219000000000001  4.02e-05  5.2100000000000006e-05
9000000.0  2042000000000.0  16690000000.0  0.0008723000000000001  4.1200000000000005e-05  5.3200000000000006e-05
10000000.0  2189000000000.0  15330000000.0  0.0009191000000000001  4.190000000000001e-05  5.410000000000001e-05
11000000.0  2314000000000.0  14190000000.0  0.0009631000000000002  4.26e-05  5.4900000000000006e-05
12000000.0  2421000000000.0  13220000000.0  0.001005  4.3200000000000007e-05  5.56e-05
13000000.0  2511000000000.0  12390000000.000002  0.0010453  4.3700000000000005e-05  5.6300000000000006e-05
14000000.0  2588000000000.0  11660000000.0  0.0010842  4.4200000000000004e-05  5.6800000000000005e-05
15000000.0  2652000000000.0  11020000000.0  0.0011222  4.47e-05  5.730000000000001e-05
16000000.0  2707000000000.0  10450000000.0  0.0011593000000000003  4.51e-05  5.780000000000001e-05
17000000.0  2752000000000.0  9938000000.0  0.0011957  4.55e-05  5.8200000000000005e-05
18000000.0  2791000000000.0  9479000000.0  0.0012316  4.5900000000000004e-05  5.860000000000001e-05
20000000.0  2850000000000.0  8686000000.0  0.0013022  4.7100000000000006e-05  5.9300000000000005e-05
22500000.0  2898000000000.0  7875000000.0  0.0013889  4.89e-05  6.0100000000000004e-05
25000000.0  2926000000000.0  7211000000.0  0.0014744  5.05e-05  6.09e-05
