energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
449.999  12990000000.0  161600000000.0  3.5000000000000004e-07  1.58e-07  1.1500000000000001e-07
499.999  13690000000.0  168100000000.0  3.7100000000000003e-07  1.66e-07  1.21e-07
549.999  14360000000.0  174100000000.0  3.9e-07  1.7400000000000002e-07  1.27e-07
599.999  15000000000.0  179700000000.0  4.1000000000000004e-07  1.8100000000000002e-07  1.33e-07
649.999  15610000000.0  184800000000.0  4.28e-07  1.8800000000000002e-07  1.3800000000000002e-07
699.999  16200000000.000002  189600000000.0  4.47e-07  1.95e-07  1.4400000000000002e-07
799.999  17320000000.0  198299999999.99997  4.82e-07  2.08e-07  1.54e-07
899.999  18370000000.0  206000000000.0  5.16e-07  2.2e-07  1.6300000000000002e-07
999.999  19360000000.0  213000000000.0  5.490000000000001e-07  2.32e-07  1.73e-07
1100.0  20310000000.0  219300000000.0  5.81e-07  2.44e-07  1.8200000000000002e-07
1200.0  21210000000.0  225100000000.00003  6.12e-07  2.55e-07  1.9e-07
1300.0  22080000000.0  230300000000.0  6.420000000000001e-07  2.66e-07  1.9900000000000002e-07
1400.0  22910000000.0  235200000000.0  6.720000000000001e-07  2.7600000000000004e-07  2.0700000000000001e-07
1500.0  23710000000.0  239700000000.0  7.01e-07  2.86e-07  2.15e-07
1600.0  24490000000.0  243900000000.0  7.3e-07  2.96e-07  2.2300000000000002e-07
1700.0  25250000000.0  247800000000.0  7.580000000000001e-07  3.06e-07  2.3000000000000002e-07
1800.0  25980000000.0  251400000000.0  7.860000000000001e-07  3.16e-07  2.3800000000000001e-07
2000.0  27380000000.0  258100000000.0  8.410000000000001e-07  3.34e-07  2.5200000000000003e-07
2250.0  29040000000.0  265400000000.0  9.08e-07  3.5700000000000003e-07  2.7e-07
2500.0  30610000000.0  271700000000.00003  9.73e-07  3.78e-07  2.87e-07
2750.0  32110000000.0  277300000000.0  1.037e-06  4.0000000000000003e-07  3.03e-07
3000.0  33540000000.0  282200000000.0  1.1e-06  4.2e-07  3.1900000000000004e-07
3250.0  34910000000.0  286700000000.0  1.162e-06  4.4e-07  3.35e-07
3500.0  36220000000.0  290600000000.0  1.2220000000000001e-06  4.6000000000000004e-07  3.51e-07
3750.0  37490000000.0  294200000000.0  1.283e-06  4.79e-07  3.66e-07
4000.0  38720000000.0  297400000000.0  1.342e-06  4.98e-07  3.8e-07
4500.0  41070000000.0  303000000000.0  1.4590000000000001e-06  5.350000000000001e-07  4.09e-07
5000.0  43300000000.0  307600000000.0  1.574e-06  5.71e-07  4.37e-07
5500.0  45410000000.0  311500000000.0  1.6880000000000002e-06  6.06e-07  4.6500000000000005e-07
6000.0  47430000000.0  314700000000.0  1.8000000000000001e-06  6.410000000000001e-07  4.91e-07
6500.0  49360000000.0  317400000000.0  1.911e-06  6.74e-07  5.17e-07
7000.0  51230000000.0  319700000000.0  2.0210000000000002e-06  7.08e-07  5.43e-07
8000.0  54760000000.0  323300000000.0  2.239e-06  7.73e-07  5.930000000000001e-07
9000.0  58090000000.0  325700000000.0  2.454e-06  8.370000000000001e-07  6.420000000000001e-07
10000.0  61230000000.0  327400000000.0  2.667e-06  8.990000000000001e-07  6.900000000000001e-07
11000.0  64220000000.0  328400000000.00006  2.8780000000000002e-06  9.61e-07  7.37e-07
12000.0  67070000000.0  328900000000.0  3.089e-06  1.021e-06  7.830000000000001e-07
13000.0  69810000000.0  329000000000.0  3.298e-06  1.08e-06  8.280000000000001e-07
14000.0  72450000000.0  328800000000.0  3.507e-06  1.139e-06  8.720000000000001e-07
15000.0  74990000000.0  328300000000.0  3.7150000000000004e-06  1.1970000000000001e-06  9.160000000000001e-07
16000.0  77450000000.0  327600000000.0  3.923e-06  1.255e-06  9.600000000000001e-07
17000.0  79830000000.0  326700000000.0  4.13e-06  1.312e-06  1.003e-06
18000.0  82150000000.0  325700000000.0  4.337e-06  1.368e-06  1.0450000000000002e-06
20000.0  86590000000.0  323300000000.0  4.751e-06  1.48e-06  1.1290000000000001e-06
22500.0  91840000000.0  319900000000.0  5.269000000000001e-06  1.618e-06  1.233e-06
25000.0  96809999999.99998  316200000000.0  5.787000000000001e-06  1.7530000000000002e-06  1.3350000000000001e-06
27500.0  101500000000.0  312300000000.0  6.306e-06  1.886e-06  1.436e-06
30000.0  106100000000.0  308300000000.0  6.826e-06  2.018e-06  1.5350000000000001e-06
32500.0  110399999999.99998  304200000000.0  7.347e-06  2.147e-06  1.6340000000000002e-06
35000.0  114500000000.0  300200000000.0  7.870000000000001e-06  2.2760000000000003e-06  1.732e-06
37500.0  118600000000.0  296200000000.0  8.394000000000001e-06  2.402e-06  1.8290000000000002e-06
40000.0  122500000000.0  292200000000.0  8.920000000000001e-06  2.527e-06  1.9260000000000003e-06
45000.0  129900000000.0  284500000000.0  9.976e-06  2.775e-06  2.1170000000000002e-06
50000.0  136900000000.0  277200000000.0  1.1000000000000001e-05  3.017e-06  2.307e-06
55000.0  143600000000.0  270100000000.00003  1.2100000000000001e-05  3.254e-06  2.4960000000000003e-06
60000.0  150000000000.0  263500000000.0  1.3200000000000002e-05  3.4870000000000002e-06  2.6820000000000003e-06
65000.0  155800000000.0  257100000000.0  1.43e-05  3.7150000000000004e-06  2.8680000000000003e-06
70000.0  159800000000.0  251100000000.0  1.5300000000000003e-05  3.94e-06  3.0530000000000002e-06
80000.0  167000000000.0  239899999999.99997  1.7500000000000002e-05  4.386e-06  3.4200000000000003e-06
90000.0  173600000000.0  229800000000.0  1.97e-05  4.822000000000001e-06  3.785e-06
100000.0  179800000000.0  220700000000.0  2.2000000000000003e-05  5.248e-06  4.148e-06
110000.0  185900000000.0  212300000000.0  2.4300000000000005e-05  5.665e-06  4.509e-06
120000.0  192000000000.0  204700000000.0  2.6600000000000003e-05  6.073e-06  4.87e-06
130000.0  198000000000.0  197700000000.0  2.8900000000000005e-05  6.471e-06  5.229e-06
140000.0  204000000000.0  191200000000.0  3.1200000000000006e-05  6.859000000000001e-06  5.586e-06
150000.0  210000000000.0  185200000000.0  3.35e-05  7.237e-06  5.941e-06
160000.0  216000000000.0  179600000000.0  3.58e-05  7.6060000000000005e-06  6.2930000000000006e-06
170000.0  221800000000.0  174500000000.0  3.82e-05  7.966000000000001e-06  6.643000000000001e-06
180000.0  227700000000.0  169600000000.0  4.05e-05  8.316000000000001e-06  6.990000000000001e-06
200000.0  239200000000.00003  160799999999.99997  4.51e-05  9e-06  7.674e-06
225000.0  253299999999.99997  151200000000.0  5.0900000000000004e-05  9.809e-06  8.51e-06
250000.0  267000000000.0  142900000000.0  5.67e-05  1.0600000000000002e-05  9.321000000000001e-06
275000.0  280200000000.0  135600000000.0  6.230000000000001e-05  1.13e-05  1.0100000000000002e-05
300000.0  292900000000.0  129000000000.0  6.790000000000001e-05  1.1900000000000001e-05  1.0900000000000002e-05
325000.0  305200000000.0  123200000000.0  7.35e-05  1.2600000000000001e-05  1.16e-05
350000.0  317100000000.0  118000000000.0  7.900000000000001e-05  1.3200000000000002e-05  1.23e-05
375000.0  328500000000.0  113200000000.0  8.44e-05  1.3700000000000003e-05  1.3000000000000001e-05
400000.0  339600000000.0  108900000000.0  8.970000000000001e-05  1.43e-05  1.3700000000000003e-05
450000.0  360400000000.0  101300000000.00002  0.00010010000000000001  1.5300000000000003e-05  1.4900000000000001e-05
500000.0  379799999999.99994  94860000000.0  0.0001104  1.62e-05  1.6100000000000002e-05
550000.0  397800000000.0  89270000000.0  0.0001203  1.7e-05  1.72e-05
600000.0  414700000000.0  84390000000.0  0.00013010000000000002  1.7800000000000002e-05  1.83e-05
650000.0  430600000000.0  80079999999.99998  0.00013960000000000003  1.8500000000000002e-05  1.93e-05
700000.0  445600000000.0  76250000000.0  0.00014890000000000001  1.91e-05  2.0200000000000003e-05
800000.0  473500000000.0  69710000000.0  0.00016710000000000002  2.04e-05  2.19e-05
900000.0  499300000000.0  64320000000.00001  0.00018470000000000002  2.15e-05  2.3500000000000002e-05
1000000.0  523500000000.0  59790000000.0  0.00020160000000000002  2.25e-05  2.5e-05
1100000.0  546800000000.0  55930000000.0  0.00021810000000000002  2.34e-05  2.6300000000000002e-05
1200000.0  569400000000.0  52590000000.0  0.000234  2.4200000000000002e-05  2.75e-05
1300000.0  591600000000.0  49670000000.0  0.0002495  2.4900000000000006e-05  2.8700000000000003e-05
1400000.0  613700000000.0  47090000000.0  0.00026460000000000003  2.55e-05  2.9800000000000003e-05
1500000.0  635800000000.0  44790000000.0  0.00027920000000000006  2.61e-05  3.08e-05
1600000.0  658000000000.0  42740000000.0  0.00029350000000000003  2.6700000000000002e-05  3.1700000000000005e-05
1700000.0  680400000000.0001  40880000000.0  0.00030730000000000004  2.7200000000000004e-05  3.26e-05
1800000.0  703000000000.0  39190000000.0  0.0003208  2.7700000000000002e-05  3.34e-05
2000000.0  749100000000.0  36240000000.0  0.00034659999999999997  2.86e-05  3.490000000000001e-05
2250000.0  808500000000.0  33180000000.0  0.0003769  2.9700000000000004e-05  3.66e-05
2500000.0  869700000000.0  30650000000.0  0.00040530000000000004  3.0600000000000005e-05  3.8e-05
2750000.0  932500000000.0  28500000000.0  0.00043180000000000003  3.13e-05  3.9300000000000007e-05
3000000.0  996500000000.0  26660000000.0  0.00045680000000000004  3.2000000000000005e-05  4.0400000000000006e-05
3250000.0  1061000000000.0  25070000000.0  0.0004803000000000001  3.2500000000000004e-05  4.1400000000000003e-05
3500000.0  1127000000000.0  23670000000.0  0.0005025  3.3e-05  4.22e-05
3750000.0  1192000000000.0  22440000000.000004  0.0005235000000000001  3.34e-05  4.3e-05
4000000.0  1257000000000.0  21330000000.0  0.0005434000000000001  3.38e-05  4.3700000000000005e-05
4500000.0  1385000000000.0  19450000000.0  0.0005804  3.46e-05  4.5e-05
5000000.0  1507000000000.0  17900000000.0  0.0006144000000000001  3.5300000000000004e-05  4.6e-05
5500000.0  1623000000000.0  16590000000.0  0.0006458000000000001  3.59e-05  4.68e-05
6000000.0  1731000000000.0  15480000000.0  0.0006752  3.63e-05  4.7600000000000005e-05
6500000.0  1831000000000.0  14520000000.0  0.0007030000000000001  3.6700000000000004e-05  4.8200000000000006e-05
7000000.0  1922000000000.0  13680000000.000002  0.0007293000000000001  3.71e-05  4.88e-05
8000000.0  2079000000000.0  12280000000.0  0.0007788000000000001  3.8e-05  4.980000000000001e-05
9000000.0  2205000000000.0  11160000000.000002  0.0008251000000000002  3.88e-05  5.0600000000000003e-05
10000000.0  2305000000000.0  10240000000.0  0.0008692000000000001  3.9500000000000005e-05  5.13e-05
11000000.0  2385000000000.0  9468000000.0  0.0009115000000000001  4.01e-05  5.190000000000001e-05
12000000.0  2448000000000.0  8814000000.0  0.0009527  4.06e-05  5.2400000000000007e-05
13000000.0  2497000000000.0  8250000000.0  0.0009929000000000001  4.1200000000000005e-05  5.2900000000000005e-05
14000000.0  2536000000000.0  7759000000.0  0.0010325  4.1700000000000004e-05  5.3400000000000004e-05
15000000.0  2567000000000.0  7328000000.0  0.0010715000000000002  4.21e-05  5.380000000000001e-05
16000000.0  2590000000000.0  6945000000.0  0.0011101000000000001  4.26e-05  5.42e-05
17000000.0  2608000000000.0  6602000000.0  0.0011485  4.3e-05  5.4600000000000006e-05
18000000.0  2621000000000.0  6294000000.0  0.0011866000000000001  4.3400000000000005e-05  5.4900000000000006e-05
20000000.0  2637000000000.0  5763000000.0  0.0012624000000000001  4.490000000000001e-05  5.56e-05
22500000.0  2640000000000.0  5220000000.0  0.0013569  4.7000000000000004e-05  5.6300000000000006e-05
25000000.0  2630000000000.0  4776000000.0  0.0014515  4.9000000000000005e-05  5.7e-05
27500000.0  2611000000000.0  4406000000.0  0.0015467  5.1e-05  5.7600000000000004e-05
30000000.0  2586000000000.0  4093000000.0  0.0016427000000000002  5.2900000000000005e-05  5.8200000000000005e-05
32500000.0  2557000000000.0  3824000000.0  0.0017397  5.480000000000001e-05  5.8800000000000006e-05
