energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
499.999  7919000000.000001  50460000000.0  6.210000000000001e-07  4.1500000000000005e-07  2.99e-07
549.999  8306000000.0  51130000000.00001  6.68e-07  4.42e-07  3.1900000000000004e-07
599.999  8675000000.0  51700000000.0  7.15e-07  4.7000000000000005e-07  3.3800000000000004e-07
649.999  9030000000.0  52180000000.0  7.620000000000001e-07  4.96e-07  3.58e-07
699.999  9370000000.0  52590000000.0  8.09e-07  5.23e-07  3.7600000000000003e-07
799.999  10020000000.0  53240000000.0  9.01e-07  5.74e-07  4.13e-07
899.999  10630000000.0  53700000000.0  9.93e-07  6.25e-07  4.49e-07
999.999  11200000000.000002  54029999999.99999  1.0840000000000001e-06  6.75e-07  4.85e-07
1100.0  11750000000.0  54240000000.0  1.175e-06  7.25e-07  5.19e-07
1200.0  12270000000.0  54370000000.0  1.266e-06  7.74e-07  5.54e-07
1300.0  12770000000.0  54429999999.99999  1.357e-06  8.22e-07  5.870000000000001e-07
1400.0  13250000000.0  54440000000.0  1.447e-06  8.7e-07  6.210000000000001e-07
1500.0  13720000000.000002  54400000000.00001  1.5380000000000001e-06  9.170000000000001e-07  6.54e-07
1600.0  14170000000.0  54320000000.00001  1.6290000000000002e-06  9.64e-07  6.87e-07
1700.0  14600000000.0  54220000000.0  1.72e-06  1.0110000000000001e-06  7.19e-07
1800.0  15029999999.999998  54080000000.0  1.8110000000000001e-06  1.057e-06  7.510000000000001e-07
2000.0  15840000000.0  53750000000.0  1.9930000000000002e-06  1.1490000000000001e-06  8.16e-07
2250.0  16800000000.0  53260000000.0  2.223e-06  1.2620000000000002e-06  8.95e-07
2500.0  17710000000.0  52710000000.0  2.453e-06  1.374e-06  9.73e-07
2750.0  18570000000.0  52120000000.0  2.685e-06  1.4840000000000001e-06  1.051e-06
3000.0  19400000000.0  51500000000.0  2.9180000000000003e-06  1.5940000000000001e-06  1.128e-06
3250.0  20190000000.0  50880000000.0  3.153e-06  1.703e-06  1.2050000000000001e-06
3500.0  20950000000.000004  50250000000.0  3.389e-06  1.8110000000000001e-06  1.281e-06
3750.0  21690000000.0  49620000000.0  3.626e-06  1.917e-06  1.357e-06
4000.0  22400000000.000004  49000000000.0  3.864000000000001e-06  2.023e-06  1.432e-06
4500.0  23760000000.0  47779999999.99999  4.346e-06  2.2310000000000003e-06  1.584e-06
5000.0  25040000000.0  46600000000.0  4.8320000000000005e-06  2.436e-06  1.734e-06
5500.0  26269999999.999996  45470000000.0  5.322e-06  2.638e-06  1.884e-06
6000.0  27430000000.0  44400000000.00001  5.816000000000001e-06  2.838e-06  2.0330000000000003e-06
6500.0  28550000000.0  43370000000.0  6.314e-06  3.034e-06  2.182e-06
7000.0  29630000000.0  42390000000.0  6.815000000000001e-06  3.227e-06  2.33e-06
8000.0  31680000000.0  40580000000.0  7.827e-06  3.604e-06  2.6260000000000004e-06
9000.0  33600000000.0  38920000000.0  8.849000000000001e-06  3.97e-06  2.9190000000000003e-06
10000.0  35420000000.0  37420000000.0  9.878000000000001e-06  4.327e-06  3.2110000000000003e-06
11000.0  37150000000.0  36040000000.0  1.0900000000000002e-05  4.673e-06  3.4990000000000003e-06
12000.0  38800000000.0  34780000000.0  1.2e-05  5.009000000000001e-06  3.785e-06
13000.0  40380000000.0  33620000000.0  1.3000000000000001e-05  5.336e-06  4.068e-06
14000.0  41910000000.0  32540000000.0  1.4e-05  5.655e-06  4.3480000000000006e-06
15000.0  43380000000.0  31549999999.999996  1.5100000000000001e-05  5.964e-06  4.625000000000001e-06
16000.0  44800000000.00001  30620000000.0  1.6100000000000002e-05  6.265e-06  4.898e-06
17000.0  46180000000.0  29750000000.0  1.72e-05  6.5580000000000006e-06  5.169e-06
18000.0  47520000000.0  28950000000.0  1.8200000000000002e-05  6.844e-06  5.4350000000000005e-06
20000.0  48970000000.0  27470000000.0  2.03e-05  7.4e-06  5.9600000000000005e-06
22500.0  50900000000.0  25860000000.0  2.3e-05  8.073e-06  6.6020000000000005e-06
25000.0  53019999999.99999  24460000000.0  2.5600000000000002e-05  8.716000000000001e-06  7.229000000000001e-06
27500.0  55320000000.0  23220000000.0  2.8300000000000003e-05  9.328000000000001e-06  7.842e-06
30000.0  57770000000.0  22130000000.0  3.09e-05  9.908e-06  8.439e-06
32500.0  60320000000.0  21140000000.0  3.3600000000000004e-05  1.0500000000000001e-05  9.019000000000001e-06
35000.0  62950000000.0  20259999999.999996  3.61e-05  1.1000000000000001e-05  9.581e-06
37500.0  65610000000.0  19450000000.0  3.8700000000000006e-05  1.15e-05  1.0100000000000002e-05
40000.0  68300000000.0  18720000000.0  4.1200000000000005e-05  1.1900000000000001e-05  1.0700000000000001e-05
45000.0  73650000000.0  17430000000.0  4.610000000000001e-05  1.2800000000000001e-05  1.16e-05
50000.0  78900000000.0  16330000000.0  5.08e-05  1.3500000000000001e-05  1.2600000000000001e-05
55000.0  83960000000.00002  15380000000.0  5.530000000000001e-05  1.4200000000000001e-05  1.3400000000000002e-05
60000.0  88810000000.0  14540000000.0  5.97e-05  1.48e-05  1.4200000000000001e-05
65000.0  93420000000.0  13810000000.0  6.400000000000001e-05  1.54e-05  1.5000000000000002e-05
70000.0  97790000000.0  13150000000.0  6.81e-05  1.5900000000000004e-05  1.5700000000000002e-05
80000.0  105800000000.0  12030000000.0  7.61e-05  1.6800000000000002e-05  1.7e-05
90000.0  112899999999.99998  11110000000.0  8.37e-05  1.76e-05  1.8100000000000003e-05
100000.0  119300000000.0  10330000000.0  9.1e-05  1.83e-05  1.91e-05
110000.0  124900000000.0  9671000000.0  9.800000000000001e-05  1.8900000000000002e-05  2.01e-05
120000.0  130000000000.0  9097000000.0  0.00010490000000000002  1.95e-05  2.09e-05
130000.0  134600000000.00002  8595000000.0  0.00011160000000000002  2e-05  2.1700000000000002e-05
140000.0  138700000000.0  8152000000.0  0.00011810000000000001  2.05e-05  2.25e-05
150000.0  142500000000.0  7756999999.999999  0.0001245  2.09e-05  2.32e-05
160000.0  146000000000.0  7402000000.0  0.0001308  2.13e-05  2.39e-05
170000.0  149200000000.0  7082000000.000001  0.0001369  2.1700000000000002e-05  2.4500000000000003e-05
180000.0  152300000000.0  6792000000.0  0.000143  2.2000000000000003e-05  2.51e-05
200000.0  157900000000.0  6283000000.0  0.00015490000000000002  2.2700000000000003e-05  2.6200000000000003e-05
225000.0  164100000000.0  5755000000.0  0.00016940000000000002  2.3500000000000002e-05  2.75e-05
250000.0  169899999999.99997  5316999999.999999  0.0001834  2.4100000000000003e-05  2.86e-05
275000.0  175400000000.0  4947000000.0  0.00019710000000000002  2.4800000000000003e-05  2.9700000000000004e-05
300000.0  180700000000.0  4629000000.0  0.00021040000000000002  2.5300000000000002e-05  3.07e-05
325000.0  186000000000.0  4354000000.0  0.0002234  2.5800000000000004e-05  3.16e-05
