energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
449.999  6500000000.0  34540000000.0  6.99e-07  5.06e-07  3.68e-07
499.999  6852000000.0  34900000000.0  7.61e-07  5.47e-07  3.9500000000000003e-07
549.999  7186000000.0  35180000000.0  8.230000000000001e-07  5.860000000000001e-07  4.23e-07
599.999  7506000000.0  35400000000.0  8.860000000000001e-07  6.240000000000001e-07  4.5000000000000003e-07
649.999  7812000000.0  35570000000.0  9.470000000000001e-07  6.620000000000001e-07  4.77e-07
699.999  8107000000.0  35690000000.0  1.009e-06  7.000000000000001e-07  5.040000000000001e-07
799.999  8667000000.0  35840000000.0  1.133e-06  7.73e-07  5.57e-07
899.999  9193000000.0  35880000000.0  1.2560000000000001e-06  8.46e-07  6.09e-07
999.999  9690000000.0  35850000000.0  1.3800000000000001e-06  9.18e-07  6.6e-07
1100.0  10160000000.0  35770000000.0  1.503e-06  9.9e-07  7.100000000000001e-07
1200.0  10610000000.0  35640000000.0  1.627e-06  1.06e-06  7.6e-07
1300.0  11050000000.0  35480000000.0  1.7520000000000001e-06  1.13e-06  8.09e-07
1400.0  11470000000.0  35290000000.0  1.8770000000000002e-06  1.2000000000000002e-06  8.580000000000001e-07
1500.0  11870000000.0  35090000000.0  2.002e-06  1.2680000000000002e-06  9.070000000000001e-07
1600.0  12260000000.0  34870000000.0  2.128e-06  1.337e-06  9.56e-07
1700.0  12629999999.999998  34650000000.0  2.255e-06  1.405e-06  1.004e-06
1800.0  13000000000.0  34410000000.0  2.381e-06  1.472e-06  1.052e-06
2000.0  13700000000.000002  33929999999.999996  2.6370000000000003e-06  1.605e-06  1.148e-06
2250.0  14540000000.0  33310000000.0  2.96e-06  1.7690000000000001e-06  1.2670000000000001e-06
2500.0  15320000000.0  32679999999.999996  3.2850000000000003e-06  1.9310000000000002e-06  1.385e-06
2750.0  16070000000.0  32070000000.0  3.614e-06  2.092e-06  1.5020000000000002e-06
3000.0  16780000000.0  31469999999.999996  3.945e-06  2.251e-06  1.619e-06
3250.0  17470000000.0  30880000000.0  4.279e-06  2.408e-06  1.7350000000000001e-06
3500.0  18130000000.0  30310000000.0  4.616e-06  2.5630000000000003e-06  1.8510000000000002e-06
3750.0  18760000000.0  29760000000.0  4.955e-06  2.717e-06  1.967e-06
4000.0  19380000000.0  29230000000.0  5.296000000000001e-06  2.8680000000000003e-06  2.0830000000000002e-06
4500.0  20560000000.0  28230000000.0  5.985e-06  3.165e-06  2.314e-06
5000.0  21670000000.0  27300000000.0  6.681e-06  3.457e-06  2.543e-06
5500.0  22730000000.0  26429999999.999996  7.383e-06  3.7420000000000003e-06  2.7710000000000002e-06
6000.0  23740000000.0  25620000000.0  8.09e-06  4.022000000000001e-06  2.9970000000000003e-06
6500.0  24700000000.000004  24870000000.0  8.801000000000001e-06  4.295e-06  3.2220000000000002e-06
7000.0  25640000000.0  24170000000.0  9.516e-06  4.563e-06  3.445e-06
8000.0  27410000000.0  22890000000.0  1.1000000000000001e-05  5.0800000000000005e-06  3.889e-06
9000.0  29070000000.0  21760000000.0  1.2400000000000002e-05  5.577e-06  4.3240000000000004e-06
10000.0  30640000000.0  20760000000.0  1.39e-05  6.0550000000000005e-06  4.751e-06
11000.0  32140000000.0  19860000000.0  1.5300000000000003e-05  6.514000000000001e-06  5.1700000000000005e-06
12000.0  33570000000.000004  19050000000.0  1.6800000000000002e-05  6.955e-06  5.5810000000000004e-06
13000.0  34940000000.0  18310000000.0  1.8200000000000002e-05  7.3800000000000005e-06  5.983e-06
14000.0  36260000000.0  17630000000.0  1.97e-05  7.788e-06  6.377e-06
15000.0  37620000000.0  17020000000.0  2.11e-05  8.182e-06  6.763e-06
16000.0  38950000000.0  16450000000.0  2.25e-05  8.559e-06  7.141000000000001e-06
17000.0  40240000000.0  15920000000.0  2.4e-05  8.923e-06  7.51e-06
18000.0  41500000000.0  15430000000.0  2.54e-05  9.273e-06  7.871e-06
20000.0  43920000000.0  14560000000.0  2.82e-05  9.936000000000001e-06  8.570000000000001e-06
22500.0  46800000000.0  13610000000.0  3.16e-05  1.0700000000000001e-05  9.4e-06
25000.0  49540000000.0  12790000000.0  3.5000000000000004e-05  1.14e-05  1.02e-05
27500.0  52160000000.0  12090000000.0  3.83e-05  1.2100000000000001e-05  1.0900000000000002e-05
30000.0  54680000000.0  11460000000.0  4.16e-05  1.27e-05  1.16e-05
32500.0  57100000000.0  10910000000.0  4.4800000000000005e-05  1.3200000000000002e-05  1.23e-05
35000.0  59440000000.0  10410000000.0  4.7900000000000006e-05  1.3700000000000003e-05  1.2900000000000002e-05
37500.0  61710000000.0  9969000000.0  5.1e-05  1.4200000000000001e-05  1.3500000000000001e-05
40000.0  63920000000.0  9564000000.0  5.4000000000000005e-05  1.4700000000000002e-05  1.41e-05
45000.0  68140000000.0  8859000000.0  5.9900000000000006e-05  1.55e-05  1.5200000000000002e-05
50000.0  72170000000.0  8262000000.0  6.55e-05  1.62e-05  1.62e-05
55000.0  76020000000.0  7750000000.0  7.1e-05  1.69e-05  1.7100000000000002e-05
60000.0  79710000000.0  7306000000.0  7.630000000000001e-05  1.7500000000000002e-05  1.79e-05
65000.0  83280000000.0  6915000000.0  8.150000000000002e-05  1.8100000000000003e-05  1.8700000000000004e-05
70000.0  86720000000.0  6569000000.0  8.650000000000002e-05  1.8500000000000002e-05  1.95e-05
80000.0  93280000000.0  5982000000.0  9.61e-05  1.94e-05  2.08e-05
90000.0  99490000000.0  5501000000.0  0.0001053  2.0200000000000003e-05  2.2000000000000003e-05
100000.0  105399999999.99998  5100000000.0  0.000114  2.09e-05  2.3e-05
