energy[eV]  elec[eV/m]    nuclear[eV/m]  range[m]   longitudinal[m]    lateral[m]
449.999  10760000000.0  177600000000.00003  3.56e-07  1.49e-07  1.08e-07
499.999  11339999999.999998  185400000000.0  3.75e-07  1.5600000000000002e-07  1.14e-07
549.999  11890000000.0  192600000000.00003  3.94e-07  1.6300000000000002e-07  1.1900000000000001e-07
599.999  12420000000.0  199300000000.0  4.1200000000000004e-07  1.7000000000000001e-07  1.24e-07
649.999  12930000000.0  205600000000.0  4.3e-07  1.7600000000000001e-07  1.29e-07
699.999  13420000000.0  211500000000.0  4.47e-07  1.8200000000000002e-07  1.34e-07
799.999  14340000000.0  222200000000.0  4.81e-07  1.9400000000000002e-07  1.43e-07
899.999  15220000000.0  231900000000.0  5.12e-07  2.0500000000000002e-07  1.5100000000000002e-07
999.999  16040000000.0  240700000000.0  5.43e-07  2.15e-07  1.59e-07
1100.0  16820000000.0  248700000000.0  5.730000000000001e-07  2.2500000000000002e-07  1.67e-07
1200.0  17570000000.0  256000000000.0  6.02e-07  2.3500000000000003e-07  1.7500000000000002e-07
1300.0  18290000000.0  262800000000.0  6.3e-07  2.44e-07  1.8200000000000002e-07
1400.0  18980000000.0  269100000000.0  6.57e-07  2.53e-07  1.89e-07
1500.0  19640000000.0  275000000000.0  6.84e-07  2.62e-07  1.96e-07
1600.0  20290000000.0  280600000000.0  7.110000000000001e-07  2.7100000000000003e-07  2.03e-07
1700.0  20910000000.000004  285700000000.0  7.37e-07  2.79e-07  2.1e-07
1800.0  21520000000.0  290600000000.0  7.620000000000001e-07  2.87e-07  2.16e-07
2000.0  22679999999.999996  299600000000.0  8.12e-07  3.03e-07  2.2900000000000003e-07
2250.0  24060000000.0  309600000000.0  8.73e-07  3.22e-07  2.44e-07
2500.0  25360000000.0  318400000000.0  9.32e-07  3.41e-07  2.5900000000000003e-07
2750.0  26600000000.0  326300000000.0  9.89e-07  3.58e-07  2.73e-07
3000.0  27780000000.0  333400000000.00006  1.046e-06  3.7600000000000003e-07  2.87e-07
3250.0  28910000000.0  339799999999.99994  1.1010000000000001e-06  3.92e-07  3.0000000000000004e-07
3500.0  30000000000.0  345700000000.0  1.1550000000000002e-06  4.09e-07  3.13e-07
3750.0  31060000000.0  351100000000.0  1.2080000000000001e-06  4.25e-07  3.2600000000000003e-07
4000.0  32080000000.0  356000000000.0  1.261e-06  4.4e-07  3.39e-07
4500.0  34020000000.0  364700000000.0  1.365e-06  4.71e-07  3.63e-07
5000.0  35860000000.0  372200000000.0  1.466e-06  5.000000000000001e-07  3.87e-07
5500.0  37610000000.0  378700000000.0  1.565e-06  5.29e-07  4.1000000000000004e-07
6000.0  39290000000.0  384400000000.0  1.663e-06  5.57e-07  4.32e-07
