12
1.0052808410684811e-13	0.00054858	-1	238.4
1.0119243183878698e-13	0.00054858	-1	192.2
1.01951013972278e-13	0.00054858	-1	155.4
1.0285560978971804e-13	0.00054858	-1	121.5
1.039318951545161e-13	0.00054858	-1	101.2
1.0519754537471047e-13	0.00054858	-1	77.22
1.0671277160569207e-13	0.00054858	-1	60.98
1.0860610503740409e-13	0.00054858	-1	46.7
1.110404889925525e-13	0.00054858	-1	129.8
1.1414137335964957e-13	0.00054858	-1	27.81
1.18059470523213e-13	0.00054858	-1	23.45
1.2313980880359958e-13	0.00054858	-1	6.404
