29
1.4924504025654043e-10	1	1	33.244
1.4926432167607704e-10	1	1	10.196
1.4933523440986657e-10	1	1	7.636
1.4943134370989959e-10	1	1	5.0008
1.4924190385097044e-10	1	1	33.62
1.4924190429994813e-10	1	1	32.68
1.4924190481622735e-10	1	1	31.68
1.492419054369217e-10	1	1	30.57
1.492419061825647e-10	1	1	29.35
1.492419070693288e-10	1	1	28.05
1.4924190814507244e-10	1	1	26.61
1.4924190951087657e-10	1	1	25.1
1.4924191130227733e-10	1	1	23.4
1.4924191364164333e-10	1	1	21.56
1.4924191668966596e-10	1	1	20.55
1.4924192079499356e-10	1	1	18.29
1.4924192641047107e-10	1	1	15.96
1.492419341340076e-10	1	1	13.63
1.4924194494732077e-10	1	1	11.22
1.492419602652658e-10	1	1	8.937
1.4924198206544892e-10	1	1	7.027
1.492420135813723e-10	1	1	5.256
1.4924205930583866e-10	1	1	3.922
1.4924212536786498e-10	1	1	2.856
1.4924222141540295e-10	1	1	1.96
1.4924236206746519e-10	1	1	1.346
1.4924256900741598e-10	1	1	1.04
1.4924287291915268e-10	1	1	0.6959
1.4924331983730722e-10	1	1	0.1215
